PWM;VTotal;VDiodo;CDiodo
60;0.43;0.21;0.68
65;0.50;0.22;0.87
70;0.54;0.22;1.01
75;0.59;0.23;1.13
80;0.65;0.24;1.32
85;0.75;0.24;1.60
90;0.78;0.24;1.71
95;0.81;0.25;1.77
100;0.99;0.30;2.20
105;1.02;0.26;2.42
110;1.08;0.26;2.58
115;1.29;0.28;3.21
120;1.34;0.27;3.40
125;1.49;0.28;3.83
130;1.68;0.29;4.42
135;1.76;0.28;4.69
140;1.98;0.30;5.34
145;2.20;0.30;6.04
150;2.32;0.30;6.41
155;2.60;0.31;7.25
160;2.84;0.32;8.01
165;2.96;0.31;8.43
170;3.23;0.32;9.23
175;3.43;0.32;9.87
180;3.51;0.32;10.13
185;3.72;0.33;10.78
190;3.87;0.33;11.22
195;3.89;0.33;11.30
200;4.06;0.33;11.84
205;4.16;0.35;12.10
210;4.22;0.33;12.34
215;4.30;0.33;12.60
220;4.37;0.33;12.82
225;4.43;0.34;12.99
230;4.49;0.34;13.19
235;4.51;0.33;13.25
240;4.59;0.34;13.51
245;4.64;0.34;13.67
250;4.69;0.34;13.81
255;4.73;0.34;13.95
0;2.12;0.29;5.80
5;0.58;0.23;1.10
10;0.17;0.10;0.23
15;0.11;0.10;0.03
20;0.12;0.11;0.05
25;0.15;0.13;0.06
30;0.19;0.15;0.14
35;0.22;0.16;0.19
40;0.25;0.18;0.23
45;0.33;0.20;0.40
50;0.34;0.20;0.47
55;0.38;0.21;0.54
60;0.45;0.22;0.74
65;0.48;0.22;0.84
70;0.53;0.22;0.98
75;0.60;0.24;1.15
80;0.66;0.23;1.37
85;0.71;0.24;1.49
90;0.78;0.25;1.69
95;0.91;0.26;2.08
100;0.93;0.25;2.16
105;0.98;0.26;2.28
110;1.18;0.29;2.82
115;1.22;0.26;3.04
120;1.36;0.28;3.43
125;1.54;0.28;3.99
130;1.60;0.28;4.20
135;1.80;0.29;4.79
140;2.01;0.30;5.45
145;2.12;0.29;5.79
150;2.38;0.31;6.56
155;2.62;0.31;7.32
160;2.74;0.30;7.74
165;3.03;0.32;8.61
170;3.26;0.32;9.31
175;3.34;0.31;9.62
180;3.58;0.33;10.33
185;3.74;0.33;10.83
190;3.77;0.32;10.94
195;3.96;0.33;11.53
200;4.07;0.35;11.82
205;4.14;0.33;12.09
210;4.23;0.33;12.37
215;4.30;0.33;12.60
220;4.36;0.33;12.80
225;4.43;0.34;13.00
230;4.45;0.33;13.06
235;4.54;0.34;13.34
240;4.60;0.34;13.53
245;4.64;0.34;13.65
250;4.69;0.34;13.81
255;4.73;0.34;13.95
0;2.12;0.29;5.82
5;0.55;0.23;1.01
10;0.17;0.14;0.08
15;0.11;0.10;0.03
20;0.12;0.11;0.03
25;0.16;0.13;0.08
30;0.18;0.15;0.11
35;0.22;0.16;0.17
40;0.29;0.18;0.34
45;0.30;0.19;0.36
50;0.33;0.20;0.43
55;0.41;0.23;0.57
60;0.43;0.21;0.71
65;0.47;0.22;0.82
70;0.55;0.23;1.02
75;0.60;0.23;1.18
80;0.64;0.23;1.29
85;0.72;0.24;1.52
90;0.83;0.25;1.83
95;0.85;0.25;1.91
100;0.94;0.26;2.16
105;1.09;0.28;2.56
110;1.11;0.26;2.72
115;1.25;0.27;3.10
120;1.41;0.31;3.49
125;1.46;0.27;3.77
130;1.65;0.29;4.33
135;1.84;0.31;4.87
140;1.93;0.29;5.20
145;2.17;0.30;5.96
150;2.41;0.31;6.67
155;2.52;0.30;7.06
