PWM;VTotal;VDiodo;CDiodo
95;0,88;0,42;0
100;0,94;0,42;0
105;1,1;0,44;0
110;1,18;0,43;0
115;1,23;0,43;0
120;1,43;0,45;0
125;1,59;0,45;0
130;1,62;0,44;0
135;1,87;0,46;0
140;2,08;0,48;0,01
145;2,14;0,46;0,01
150;2,44;0,48;0,01
155;2,68;0,48;0,01
160;2,76;0,47;0,01
165;3,07;0,49;0,01
170;3,29;0,49;0,01
175;3,36;0,48;0,01
180;3,62;0,49;0,01
185;3,77;0,5;0,01
190;3,8;0,49;0,01
195;3,99;0,5;0,01
200;4,09;0,5;0,01
205;4,1;0,49;0,01
210;4,24;0,5;0,01
215;4,32;0,5;0,01
220;4,39;0,5;0,01
225;4,45;0,5;0,01
230;4,51;0,5;0,01
235;4,57;0,51;0,01
240;4,61;0,5;0,01
245;4,66;0,5;0,01
250;4,69;0,5;0,01
255;4,73;0,5;0,01
0;2,2;0,46;0,01
5;0,67;0,4;0
10;0,2;0,21;0
15;0,12;0,12;0
20;0,13;0,13;0
25;0,15;0,15;0
30;0,18;0,18;0
35;0,17;0,26;0
40;0,26;0,26;0
45;0,3;0,29;0
50;0,33;0,27;0
55;0,42;0,35;0
60;0,43;0,36;0
65;0,48;0,37;0
70;0,6;0,4;0
75;0,6;0,39;0
80;0,65;0,4;0
85;0,78;0,42;0
90;0,83;0,41;0
95;0,87;0,41;0
100;0,9;0,43;0
105;1,13;0,46;0
110;1,13;0,43;0
115;1,2;0,44;0
120;1,46;0,45;0
125;1,49;0,44;0
130;1,59;0,45;0
135;1,89;0,46;0
140;1,96;0,45;0
145;2,1;0,47;0,01
150;2,46;0,48;0,01
155;2,57;0,47;0,01
160;2,75;0,48;0,01
165;3,1;0,49;0,01
170;3,3;0,48;0,01
175;3,34;0,49;0,01
180;3,63;0,49;0,01
185;3,78;0,49;0,01
190;3,84;0,49;0,01
195;3,98;0,5;0,01
200;4,09;0,5;0,01
205;4,14;0,5;0,01
210;4,25;0,5;0,01
215;4,34;0,5;0,01
220;4,37;0,5;0,01
225;4,45;0,5;0,01
230;4,51;0,5;0,01
235;4,54;0,5;0,01
240;4,6;0,5;0,01
245;4,65;0,5;0,01
250;4,69;0,5;0,01
255;4,74;0,5;0,01
0;2,21;0,46;0,01
5;0,66;0,4;0
10;0,2;0,2;0
15;0,14;0,13;0
20;0,12;0,13;0
25;0,15;0,15;0
30;0,18;0,13;0
