PWM;VTotal;VDiodo;CDiodo
95;0.80;0.15;2.06
100;0.98;0.19;2.50
105;1.01;0.16;2.72
110;1.06;0.16;2.84
115;1.27;0.17;3.49
120;1.32;0.17;3.68
125;1.48;0.18;4.13
130;1.66;0.18;4.70
135;1.74;0.18;4.95
140;1.96;0.19;5.62
145;2.18;0.20;6.30
150;2.29;0.20;6.66
155;2.58;0.21;7.53
160;2.82;0.21;8.29
165;2.94;0.21;8.67
170;3.22;0.22;9.51
175;3.42;0.22;10.15
180;3.48;0.20;10.44
185;3.71;0.22;11.08
190;3.86;0.24;11.47
195;3.93;0.23;11.75
200;4.05;0.23;12.13
205;4.14;0.23;12.43
210;4.21;0.23;12.63
215;4.30;0.23;12.89
220;4.32;0.22;13.00
225;4.42;0.23;13.30
230;4.49;0.23;13.50
235;4.53;0.23;13.64
240;4.59;0.23;13.82
245;4.64;0.24;13.96
250;4.68;0.23;14.12
255;4.73;0.24;14.24
0;2.11;0.19;6.11
5;0.57;0.13;1.40
10;0.16;0.08;0.23
15;0.11;0.05;0.19
20;0.12;0.05;0.20
25;0.14;0.02;0.39
30;0.19;0.07;0.36
35;0.22;0.08;0.43
40;0.24;0.09;0.50
45;0.36;0.10;0.84
50;0.33;0.10;0.74
55;0.37;0.10;0.84
60;0.45;0.12;1.06
65;0.48;0.12;1.15
70;0.52;0.12;1.26
75;0.60;0.13;1.49
80;0.65;0.13;1.64
85;0.70;0.13;1.80
90;0.79;0.14;2.05
95;0.93;0.15;2.47
100;0.92;0.15;2.47
105;1.02;0.16;2.75
110;1.17;0.17;3.17
115;1.21;0.16;3.32
120;1.35;0.17;3.75
125;1.52;0.19;4.22
130;1.58;0.17;4.48
135;1.79;0.19;5.10
140;1.99;0.23;5.60
145;2.09;0.19;6.04
150;2.36;0.20;6.84
155;2.60;0.21;7.59
160;2.72;0.20;7.99
165;3.01;0.21;8.89
170;3.24;0.22;9.59
175;3.32;0.20;9.93
180;3.57;0.22;10.63
185;3.73;0.23;11.11
190;3.77;0.22;11.26
195;3.95;0.22;11.84
200;4.07;0.22;12.20
205;4.13;0.23;12.38
210;4.22;0.23;12.68
215;4.25;0.22;12.79
220;4.36;0.23;13.11
225;4.43;0.23;13.33
230;4.47;0.23;13.44
235;4.54;0.23;13.65
240;4.59;0.23;13.82
245;4.63;0.23;13.96
250;4.68;0.23;14.12
255;4.73;0.23;14.26
0;2.11;0.19;6.11
5;0.62;0.13;1.55
10;0.18;0.07;0.34
15;0.11;0.05;0.19
20;0.12;0.05;0.20
25;0.15;0.06;0.28
30;0.18;0.07;0.34
35;0.21;0.04;0.53
40;0.26;0.09;0.56
45;0.29;0.09;0.62
50;0.32;0.10;0.71
55;0.41;0.12;0.92
60;0.43;0.11;1.01
65;0.46;0.11;1.12
70;0.55;0.13;1.35
75;0.59;0.13;1.46
80;0.63;0.13;1.60
85;0.73;0.14;1.88
90;0.79;0.14;2.08
95;0.84;0.14;2.22
100;0.94;0.15;2.51
105;1.09;0.16;2.96
110;1.10;0.16;2.99
115;1.24;0.17;3.41
120;1.39;0.17;3.88
125;1.44;0.17;4.05
130;1.64;0.18;4.64
135;1.82;0.19;5.18
140;1.90;0.18;5.46
145;2.16;0.19;6.24
150;2.39;0.23;6.84
155;2.50;0.20;7.31
160;2.80;0.21;8.22
165;3.04;0.23;8.91
170;3.13;0.19;9.36
175;3.40;0.22;10.12
180;3.58;0.24;10.60
185;3.64;0.22;10.85
190;3.84;0.22;11.48
195;3.95;0.22;11.85
200;4.04;0.22;12.12
205;4.14;0.22;12.44
210;4.17;0.22;12.55
215;4.29;0.23;12.89
220;4.36;0.23;13.13
225;4.37;0.23;13.16
230;4.48;0.23;13.50
235;4.54;0.23;13.69
240;4.58;0.23;13.82
245;4.64;0.23;14.00
250;4.68;0.23;14.14
255;4.73;0.23;14.27
0;2.12;0.19;6.13
5;0.59;0.12;1.47
10;0.17;0.07;0.33
